id,text,user_name,user_location,sentiment,created,housemate
76,Actually watching clips from this year's CBB. Lord Commander Mormont looks distinctly chilled out whenever he's onscreen.,AstartesIneptus,"South West, England",NA,2017-01-20T05:18:16,No name
77,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,juan_juanesse,,NA,2017-01-20T05:18:55,No name
78,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,rezkysimatupang,,NA,2017-01-20T05:19:33,No name
79,"""Just chill Chloe""_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚ #CBB #CBBUK",teamjuju365,Instagram.com/teamjuju365,NA,2017-01-20T05:19:34,No name
81,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,BenoitMedor,,NA,2017-01-20T05:20:16,No name
82,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,chimchongas,,NA,2017-01-20T05:20:47,No name
83,This how you know a man IS NOT interested.  When he starts talking 2u like he's your father #CBB #CBBUK #CBBCalum #CBBChloe,teamjuju365,Instagram.com/teamjuju365,NA,2017-01-20T05:20:59,No name
84,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,hari1133,,NA,2017-01-20T05:21:34,No name
85,RT @planetjedward: This house is like a comic book _Ÿ“_ strip without Batman and Superman ...for copyright reasons #CBB #CBBJedward,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:21:36,No name
86,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,AnthonyResuello,,NA,2017-01-20T05:21:36,No name
87,RT @planetjedward: If only we had a paper and a pen we could be writing comics for a future Marvel movie! #CBBJedward #CBB,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:21:55,No name
88,What is Calum doing? #cbb #bulge https://t.co/83oj4dpNLg,bashgita,Gold's Gym ,NA,2017-01-20T05:22:09,No name
89,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,PHCKings,,NA,2017-01-20T05:22:10,No name
90,RT @bbspy: Only Jedward could make those Britney puns Work B***h! #CBB #CBBJedward,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:22:38,No name
91,RT @BBUKFullGossip_: Looks like Jedward are in their element... #CBBJedward #CBB #Day16 https://t.co/xcFpaTpzqM,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:22:45,No name
